pitcher_id,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
502171,SP,Alex Cobb,34,7,8,0.467,3.73,28,28,0,0,0,0,149.2,152,72,62,9,43,0,151,3,1,4,631,106,2.8,1.303,9.1,0.5,2.6,9.1,3.51
622072,SP,Alex Wood,31,8,12,0.4,5.1,26,26,0,0,0,0,130.2,132,78,74,17,30,1,131,12,0,4,555,77,3.76,1.24,9.1,1.2,2.1,9,4.37
622065,RP,Alex Young,28,1,1,0.5,2.39,24,1,1,0,0,0,26.1,28,11,7,0,11,0,20,1,0,3,114,167,2.96,1.481,9.6,0,3.8,6.8,1.82
607755,RP,Andrew Vasquez,28,0,0,,0,1,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,7,,0.61,0.5,0,0,4.5,18,4
543101,SP,Anthony DeSclafani,32,0,2,0,6.63,5,5,0,0,0,0,19,34,21,14,4,4,0,17,1,0,0,94,61,4.85,2,16.1,1.9,1.9,8.1,4.25
642851,RP,Austin Wynns,31,0,0,,13.5,2,0,2,0,0,0,2,3,3,3,1,1,0,0,0,0,0,10,35,11.11,2,13.5,4.5,4.5,0,0
666808,CL,Camilo Doval,24,6,6,0.5,2.53,68,0,51,0,0,27,67.2,54,27,19,4,30,2,80,3,0,4,286,156,2.98,1.241,7.2,0.5,4,10.6,2.67
607074,SP,Carlos Rodón,29,14,8,0.636,2.88,31,31,0,1,0,0,178,131,59,57,12,52,0,237,3,0,10,710,137,2.25,1.028,6.6,0.6,2.6,12,4.56
686972,RP,Cole Waites,24,0,0,,3.18,7,0,3,0,0,0,5.2,6,2,2,1,4,0,4,0,0,0,25,132,6.11,1.765,9.5,1.6,6.4,6.4,1
608678,RP,Dominic Leone,30,4,5,0.444,4.01,55,0,8,0,0,3,49.1,55,24,22,6,24,5,52,0,0,3,222,99,4.04,1.601,10,1.1,4.4,9.5,2.17
622268,RP,Donovan Walton,28,0,0,,27,1,0,1,0,0,0,1,3,3,3,1,1,0,0,0,0,1,7,20,19.11,4,27,9,9,0,0
666619,RP,Gregory Santos,22,0,0,,4.91,2,0,1,0,0,0,3.2,3,2,2,0,3,0,2,0,0,0,17,89,4.48,1.636,7.4,0,7.4,4.9,0.67
459429,RP,Jake McGee,35,1,2,0.333,7.17,24,0,8,0,0,3,21.1,27,18,17,2,6,1,11,0,0,1,96,56,4.14,1.547,11.4,0.8,2.5,4.6,1.83
596001,SP,Jakob Junis,29,5,7,0.417,4.42,23,17,0,0,0,0,112,120,57,55,13,25,0,98,4,0,1,478,89,3.65,1.295,9.6,1,2,7.9,3.92
606424,RP,Jarlín García,29,1,4,0.2,3.74,58,0,14,0,0,1,65,60,34,27,10,18,1,56,1,0,2,270,106,4.27,1.2,8.3,1.4,2.5,7.8,3.11
605194,RP,Jharel Cotton,30,2,0,1,6.75,5,0,2,0,0,0,8,11,7,6,0,4,0,8,0,0,1,37,61,2.61,1.875,12.4,0,4.5,9,2
605154,RP,John Brebbia,32,6,2,0.75,3.18,76,11,4,0,0,0,68,71,27,24,5,18,2,54,1,0,0,288,124,3.32,1.309,9.4,0.7,2.4,7.1,3
501625,RP,José Álvarez,33,2,1,0.667,5.28,21,0,6,0,0,1,15.1,17,10,9,3,9,1,15,2,0,1,76,76,5.85,1.696,10,1.8,5.3,8.8,1.67
665645,RP,Kervin Castro,23,0,0,,27,2,0,1,0,0,0,1.2,4,5,5,0,2,0,4,0,0,0,11,18,1.91,3.6,21.6,0,10.8,21.6,2
657277,SP,Logan Webb,25,15,9,0.625,2.9,32,32,0,0,0,0,192.1,174,76,62,11,49,0,163,7,0,6,787,136,3.03,1.159,8.1,0.5,2.3,7.6,3.33
670768,RP,Luis González,26,0,0,,5.68,5,0,5,0,0,0,6.1,9,4,4,0,1,0,0,0,0,0,30,73,3.59,1.579,12.8,0,1.4,0,0
656814,RP,Luis Ortiz,26,0,0,,1.04,6,0,4,0,0,0,8.2,5,1,1,0,3,0,6,0,0,0,33,396,2.77,0.923,5.2,0,3.1,6.2,2
